"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"0.000000000000 to 548458.788065636000","Range of Values",0,0,NA
"0","0",3915,3915,NA
".","Missing",0,3915,NA
