"WTIREP49.Code.or.Value","WTIREP49.Value.Description","WTIREP49.Count","WTIREP49.Cumulative","WTIREP49.Skip.to.Item"
"0 to 237076.10369","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
