"SXQ130.Code.or.Value","SXQ130.Value.Description","SXQ130.Count","SXQ130.Cumulative","SXQ130.Skip.to.Item"
"0 to 50","Range of Values",1326,1326,NA
"77777","Refused",3,1329,NA
"99999","Don't know",4,1333,NA
".","Missing",1505,2838,NA
