"FSQ460.Code.or.Value","FSQ460.Value.Description","FSQ460.Count","FSQ460.Cumulative","FSQ460.Skip.to.Item"
"1 to 10","Range of Values",36,36,NA
"77","Refused",3,39,NA
"99","Don't know",0,39,NA
".","Missing",10083,10122,NA
