"AUXRR163.Code.or.Value","AUXRR163.Value.Description","AUXRR163.Count","AUXRR163.Cumulative","AUXRR163.Skip.to.Item"
"-7 to 38","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
