"URXNOXT.Code.or.Value","URXNOXT.Value.Description","URXNOXT.Count","URXNOXT.Cumulative","URXNOXT.Skip.to.Item"
"1.77 to 4530","Range of Values",553,553,NA
".","Missing",2726,3279,NA
