"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",646,646,""
"2","No",4475,5121,"DRD370B"
".","Missing",4692,9813,""
