"DSXFD1.Code.or.Value","DSXFD1.Value.Description","DSXFD1.Count","DSXFD1.Cumulative","DSXFD1.Skip.to.Item"
"0.14 to 132510.46","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
