"PFQ061T.Code.or.Value","PFQ061T.Value.Description","PFQ061T.Count","PFQ061T.Cumulative","PFQ061T.Skip.to.Item"
"1","No difficulty",1399,1399,NA
"2","Some difficulty",633,2032,NA
"3","Much difficulty",251,2283,NA
"4","Unable to do",236,2519,NA
"5","Do not do this activity",130,2649,NA
"7","Refused",0,2649,NA
"9","Don't know",2,2651,NA
".","Missing",6340,8991,NA
