"LBDIRNSI.Code.or.Value","LBDIRNSI.Value.Description","LBDIRNSI.Count","LBDIRNSI.Cumulative","LBDIRNSI.Skip.to.Item"
"0.54 to 63.90","Range of Values",8814,8814,NA
".","Missing",1115,9929,NA
