"DS1TVC.Code.or.Value","DS1TVC.Value.Description","DS1TVC.Count","DS1TVC.Cumulative","DS1TVC.Skip.to.Item"
"0.017 to 4000","Range of Values",1725,1725,NA
".","Missing",7819,9544,NA
