"CVDR2DI.Code.or.Value","CVDR2DI.Value.Description","CVDR2DI.Count","CVDR2DI.Cumulative","CVDR2DI.Skip.to.Item"
"38 to 171","Range of Values",3147,3147,NA
".","Missing",2005,5152,NA
