"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.27 to 136","Range of Values",2517,2517,NA
".","Missing",77,2594,NA
