"RHQ540.Code.or.Value","RHQ540.Value.Description","RHQ540.Count","RHQ540.Cumulative","RHQ540.Skip.to.Item"
"1","Yes",579,579,""
"2","No",1640,2219,"RHQ700"
"7","Refused",0,2219,"RHQ700"
"9","Don't know",5,2224,"RHQ700"
".","Missing",1340,3564,""
