"DXXSPX.Code.or.Value","DXXSPX.Value.Description","DXXSPX.Count","DXXSPX.Cumulative","DXXSPX.Skip.to.Item"
"0 to 2","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
