"WTSBA34.Code.or.Value","WTSBA34.Value.Description","WTSBA34.Count","WTSBA34.Cumulative","WTSBA34.Skip.to.Item"
"0 to 349435.93","Range of Values",946,946,NA
".","Missing",65,1011,NA
