"FFQ0077A.Code.or.Value","FFQ0077A.Value.Description","FFQ0077A.Count","FFQ0077A.Cumulative","FFQ0077A.Skip.to.Item"
1,"Almost never or never",3563,3563,NA
2,"About 1/4 of the time",470,4033,NA
3,"About 1/2 of the time",436,4469,NA
4,"About 3/4 of the time",179,4648,NA
5,"Almost always or always",387,5035,NA
88,"Blank",978,6013,NA
99,"Error",0,6013,NA
