"DRD370L.Code.or.Value","DRD370L.Value.Description","DRD370L.Count","DRD370L.Cumulative","DRD370L.Skip.to.Item"
"1","Yes",7,7,""
"2","No",2020,2027,"DRD370M"
".","Missing",8450,10477,""
