"VTQ280F.Code.or.Value","VTQ280F.Value.Description","VTQ280F.Count","VTQ280F.Cumulative","VTQ280F.Skip.to.Item"
"1","Yes",383,383,NA
"2","No",2205,2588,NA
"7","Refused",0,2588,NA
"9","Don't know",1,2589,NA
".","Missing",705,3294,NA
