"OPDDVCDR.Code.or.Value","OPDDVCDR.Value.Description","OPDDVCDR.Count","OPDDVCDR.Cumulative","OPDDVCDR.Skip.to.Item"
"0.12 to 0.92","Range of Values",2403,2403,NA
".","Missing",531,2934,NA
