"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",76,76,""
"2","No",1951,2027,"DRD370G"
".","Missing",8450,10477,""
