"URDPHELC.Code.or.Value","URDPHELC.Value.Description","URDPHELC.Count","URDPHELC.Cumulative","URDPHELC.Skip.to.Item"
"0","At or above the detection limit",922,922,NA
"1","Below lower detection limit",1647,2569,NA
".","Missing",186,2755,NA
