"LBDALCSI.Code.or.Value","LBDALCSI.Value.Description","LBDALCSI.Count","LBDALCSI.Cumulative","LBDALCSI.Skip.to.Item"
"0.0058 to 2.298","Range of Values",7198,7198,NA
"0.0039","Fill Value of Limit of Detection",70,7268,NA
".","Missing",714,7982,NA
