"OHD21LAS.Code.or.Value","OHD21LAS.Value.Description","OHD21LAS.Count","OHD21LAS.Cumulative","OHD21LAS.Skip.to.Item"
"0 to 9","Range of Values",2500,2500,NA
"99","Calculation cannot be determined",277,2777,NA
".","Missing",4353,7130,NA
