"DXXOSA.Code.or.Value","DXXOSA.Value.Description","DXXOSA.Count","DXXOSA.Cumulative","DXXOSA.Skip.to.Item"
"26.68 to 91.35","Range of Values",5679,5679,NA
".","Missing",2506,8185,NA
