"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",7952,7952,NA
"2","Spanish",1203,9155,NA
"3","English and Spanish",160,9315,NA
"4","Other",34,9349,NA
".","Missing",413,9762,NA
