"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 22630","Range of Values",7555,7555,NA
"7777777","Refused",0,7555,NA
"9999999","Don't know",0,7555,NA
".","Missing",84,7639,NA
