"WTSPH2YR.Code.or.Value","WTSPH2YR.Value.Description","WTSPH2YR.Count","WTSPH2YR.Cumulative","WTSPH2YR.Skip.to.Item"
"0 to 784084.01503","Range of Values",2648,2648,NA
".","Missing",0,2648,NA
