"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"2 to 3200","Range of Values",1626,1626,NA
".","Missing",3744,5370,NA
