"AUXLR213.Code.or.Value","AUXLR213.Value.Description","AUXLR213.Count","AUXLR213.Cumulative","AUXLR213.Skip.to.Item"
"-19 to 75","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
