"OSQ120a.Code.or.Value","OSQ120a.Value.Description","OSQ120a.Count","OSQ120a.Cumulative","OSQ120a.Skip.to.Item"
"1","Yes",248,248,""
"2","No",803,1051,"OSQ060"
"7","Refused",0,1051,"OSQ060"
"9","Don't know",1,1052,"OSQ060"
".","Missing",3927,4979,""
