"SSK_FLC.Code.or.Value","SSK_FLC.Value.Description","SSK_FLC.Count","SSK_FLC.Cumulative","SSK_FLC.Skip.to.Item"
"0.65 to 10.3","Range of Values",147,147,NA
".","Missing",1570,1717,NA
