"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",0,0,NA
"2","Day 1 and day 2",5903,5903,NA
".","Missing",0,5903,NA
