"DR1TS060.Code.or.Value","DR1TS060.Value.Description","DR1TS060.Count","DR1TS060.Cumulative","DR1TS060.Skip.to.Item"
"0 to 3.807","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
