"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2664,2664,NA
"1","Below lower detection limit",0,2664,NA
".","Missing",91,2755,NA
