"LBDBR66C.Code.or.Value","LBDBR66C.Value.Description","LBDBR66C.Count","LBDBR66C.Cumulative","LBDBR66C.Skip.to.Item"
"0","At or above the detection limit",449,449,NA
"1","Below lower detection limit",1550,1999,NA
".","Missing",338,2337,NA
