"AUDTYL33.Code.or.Value","AUDTYL33.Value.Description","AUDTYL33.Count","AUDTYL33.Cumulative","AUDTYL33.Skip.to.Item"
"0 to 2.09","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
