"CBQ698h.Code.or.Value","CBQ698h.Value.Description","CBQ698h.Count","CBQ698h.Cumulative","CBQ698h.Skip.to.Item"
"8","I won't know what to look for even if I read the labels",20,20,NA
".","Missing",2025,2045,NA
