"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 5252","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
