"URDCBFLC.Code.or.Value","URDCBFLC.Value.Description","URDCBFLC.Count","URDCBFLC.Cumulative","URDCBFLC.Skip.to.Item"
"0","detectable result",261,261,NA
"1","below detectable limit",1733,1994,NA
".","Missing",131,2125,NA
