"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",0,0,NA
"2","Day 1 and day 2",112101,112101,NA
".","Missing",0,112101,NA
