"RFXT151.Code.or.Value","RFXT151.Value.Description","RFXT151.Count","RFXT151.Cumulative","RFXT151.Skip.to.Item"
"1318 to 1327","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
