"WHD100S.Code.or.Value","WHD100S.Value.Description","WHD100S.Count","WHD100S.Cumulative","WHD100S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",3,3,NA
".","Missing",6543,6546,NA
