"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"23 to 58.8","Range of Values",7528,7528,NA
".","Missing",838,8366,NA
