"LBXF01.Code.or.Value","LBXF01.Value.Description","LBXF01.Count","LBXF01.Cumulative","LBXF01.Skip.to.Item"
"8.41 to 273.2","Range of Values",1903,1903,NA
".","Missing",371,2274,NA
