"DRXTMFAT.Code.or.Value","DRXTMFAT.Value.Description","DRXTMFAT.Count","DRXTMFAT.Cumulative","DRXTMFAT.Skip.to.Item"
"0 to 339.932","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
