"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"113.14 to 13560.89","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
