"FSQ235.Code.or.Value","FSQ235.Value.Description","FSQ235.Count","FSQ235.Cumulative","FSQ235.Skip.to.Item"
"8 to 2009","Range of Values",2634,2634,NA
"77777","Refused",25,2659,NA
"99999","Don't know",74,2733,NA
".","Missing",7804,10537,NA
