"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1140,1140,""
"2","No",4284,5424,"DRD370U"
".","Missing",4338,9762,""
