"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"36 to 375","Range of Values",3386,3386,NA
".","Missing",195,3581,NA
