"DR1_320Z.Code.or.Value","DR1_320Z.Value.Description","DR1_320Z.Count","DR1_320Z.Cumulative","DR1_320Z.Skip.to.Item"
"0 to 10000","Range of Values",9349,9349,NA
".","Missing",601,9950,NA
