"LBXSASSI.Code.or.Value","LBXSASSI.Value.Description","LBXSASSI.Count","LBXSASSI.Cumulative","LBXSASSI.Skip.to.Item"
"8 to 733","Range of Values",6858,6858,NA
".","Missing",511,7369,NA
