"TYXP138.Code.or.Value","TYXP138.Value.Description","TYXP138.Count","TYXP138.Cumulative","TYXP138.Skip.to.Item"
"-295 to 28","Range of Values",7531,7531,NA
".","Missing",938,8469,NA
