"SMQ690H.Code.or.Value","SMQ690H.Value.Description","SMQ690H.Count","SMQ690H.Cumulative","SMQ690H.Skip.to.Item"
"8","E-cigarettes",118,118,NA
".","Missing",6283,6401,NA
