"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 659","Range of Values",8052,8052,NA
".","Missing",239,8291,NA
