"DXXAGRAT.Code.or.Value","DXXAGRAT.Value.Description","DXXAGRAT.Count","DXXAGRAT.Cumulative","DXXAGRAT.Skip.to.Item"
"0.5 to 2","Range of Values",5085,5085,NA
".","Missing",695,5780,NA
