"AUXRR120.Code.or.Value","AUXRR120.Value.Description","AUXRR120.Count","AUXRR120.Cumulative","AUXRR120.Skip.to.Item"
"-42 to 60","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
