"DR1ICOPP.Code.or.Value","DR1ICOPP.Value.Description","DR1ICOPP.Count","DR1ICOPP.Cumulative","DR1ICOPP.Skip.to.Item"
"0 to 27.012","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
