"LBX10AL.Code.or.Value","LBX10AL.Value.Description","LBX10AL.Count","LBX10AL.Cumulative","LBX10AL.Skip.to.Item"
"2.76 to 13.3","Range of Values",1411,1411,NA
".","Missing",913,2324,NA
