"MCQ160e.Code.or.Value","MCQ160e.Value.Description","MCQ160e.Count","MCQ160e.Cumulative","MCQ160e.Skip.to.Item"
"1","Yes",203,203,NA
"2","No",5349,5552,NA
"7","Refused",1,5553,NA
"9","Don't know",6,5559,NA
".","Missing",3805,9364,NA
