"URXPHE.Code.or.Value","URXPHE.Value.Description","URXPHE.Count","URXPHE.Cumulative","URXPHE.Skip.to.Item"
"0.495 to 82.1","Range of Values",2569,2569,NA
".","Missing",186,2755,NA
