"URDTNE7.Code.or.Value","URDTNE7.Value.Description","URDTNE7.Count","URDTNE7.Cumulative","URDTNE7.Skip.to.Item"
"0.3661 to 463.9","Range of Values",977,977,NA
".","Missing",1485,2462,NA
