"BIXS500K.Code.or.Value","BIXS500K.Value.Description","BIXS500K.Count","BIXS500K.Cumulative","BIXS500K.Skip.to.Item"
"71.61 to 948.33","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
