"DXXINA.Code.or.Value","DXXINA.Value.Description","DXXINA.Count","DXXINA.Cumulative","DXXINA.Skip.to.Item"
"6.76 to 35.69","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
